date,ic,hit_rate,spread,top,bottom,coverage,n_securities
2018-01-31,0.04394085475420219,0.5175763419016809,0.006591128213130328,0.008954676927878196,-0.007636451285252132,0.8797437615139109,69
2018-02-28,0.03251124257891868,0.5130044970315675,0.004876686386837802,0.007926011832102682,-0.006950674554735121,0.860007388277743,75
2018-03-31,0.04665839368581247,0.518663357474325,0.00699875905287187,0.009199255431723122,-0.007799503621148748,0.8876676888787898,71
2018-04-30,0.06241453741534446,0.5249658149661378,0.009362180612301669,0.010617308367381001,-0.008744872244920668,0.8709587673430206,73
2018-05-31,0.030785239254979956,0.5123140957019919,0.0046177858882469934,0.007770671532948196,-0.006847114355298798,0.9708606948045345,73
2018-06-30,0.030785534774914754,0.5123142139099659,0.004617830216237213,0.0077706981297423275,-0.006847132086494886,0.9550556493433742,67
2018-07-31,0.06342583067913304,0.5253703322716532,0.009513874601869957,0.010708324761121974,-0.008805549840747983,0.932342488346355,67
2018-08-31,0.04881382512475236,0.519525530049901,0.007322073768712854,0.009393244261227712,-0.007928829507485143,0.9632898767244032,67
2018-09-30,0.026549461053170867,0.5106197844212683,0.00398241915797563,0.007389451494785378,-0.006592967663190253,0.9544773699968848,68
2018-10-31,0.044766080784547364,0.5179064323138189,0.0067149121176821045,0.009028947270609263,-0.007685964847072842,0.8742541076551846,72
2018-11-30,0.026658481529375683,0.5106633926117503,0.003998772229406353,0.007399263337643812,-0.006599508891762541,0.9660326698036971,70
2018-12-31,0.026616864435735382,0.5106467457742941,0.0039925296653603075,0.0073955177992161844,-0.006597011866144123,0.9201144914490346,72
2019-01-31,0.03935532088818862,0.5157421283552754,0.0059032981332282925,0.008541978879936976,-0.0073613192532913175,0.9549672201713281,65
2019-02-28,0.0005609555961596444,0.5002243822384639,8.414333942394666e-05,0.005050486003654368,-0.005033657335769578,0.9664918689900541,72
2019-03-31,0.003951479014765415,0.5015805916059062,0.0005927218522148123,0.005355633111328887,-0.005237088740885925,0.8913404517463422,68
2019-04-30,0.024878824473662495,0.509951529789465,0.003731823671049374,0.007239094202629625,-0.00649272946841975,0.8643067501885979,75
2019-05-31,0.016769039833980377,0.5067076159335921,0.0025153559750970564,0.006509213585058234,-0.006006142390038823,0.8796315711304524,65
2019-06-30,0.040656451986714935,0.516262580794686,0.00609846779800724,0.008659080678804344,-0.007439387119202896,0.9055240125214133,72
2019-07-31,0.01865556664061821,0.5074622266562473,0.0027983349960927313,0.006679000997655639,-0.006119333998437093,0.9563419195699241,68
2019-08-31,0.00957853337596476,0.503831413350386,0.0014367800063947139,0.005862068003836828,-0.005574712002557885,0.9618949758233246,70
2019-09-30,0.06138167784058797,0.5245526711362352,0.009207251676088195,0.010524351005652917,-0.008682900670435279,0.8509037769690547,72
2019-10-31,0.030936026591242363,0.5123744106364969,0.0046404039886863545,0.007784242393211812,-0.0068561615954745424,0.9163971493350835,68
2019-11-30,0.036215507684382635,0.514486203073753,0.005432326152657395,0.008259395691594437,-0.007172930461062958,0.9042634304093412,78
2019-12-31,0.009354532648157783,0.5037418130592631,0.0014031798972236674,0.005841907938334201,-0.005561271958889467,0.8788740153611949,67
2020-01-31,0.025201110958546716,0.5100804443834187,0.0037801666437820075,0.007268099986269204,-0.006512066657512803,0.8655824977533787,78
2020-02-29,0.03699660661477759,0.514798642645911,0.0055494909922166385,0.008329694595329984,-0.007219796396886656,0.8938899722824716,73
2020-03-31,0.014282115606398554,0.5057128462425594,0.002142317340959783,0.006285390404575869,-0.005856926936383913,0.9725782615086275,67
2020-04-30,0.0417625643302221,0.5167050257320889,0.006264384649533315,0.008758630789719989,-0.007505753859813326,0.8920163811626982,73
